,prolific_age,prolific_sex,time taken,participant_no,self_report_gender,self_report_assigned-at-birth,self_report_age,aligns
0,45,Male,51.166666666666664,1,,,,NaN
1,25,Female,72.53333333333333,2,,,,NaN
2,25,Male,42.06666666666667,3,Male,Yes,25,True
3,49,Male,133.85,4,,,,NaN
4,30,Female,128.8,5,Female,Yes,30,True
5,48,Male,49.833333333333336,6,,,,NaN
6,38,Female,43.38333333333333,7,,,,NaN
7,49,Female,101.6,8,,,,NaN
8,34,Male,98.95,9,Male,Yes,34,True
9,20,Female,58.53333333333333,10,Female,Yes,20,True
10,21,Female,56.6,11,,,,NaN
11,29,Male,83.21666666666667,12,Male,Yes,29,True
12,37,Male,64.66666666666667,13,Male,Yes,37,True
13,59,Male,103.78333333333333,14,Male,Yes,59,True
