,Vid,trial_type,unpleasant_1,unpleasant_2,unpleasant_3,arousing_1,arousing_2,arousing_3,disgusting_1,disgusting_2,disgusting_3,frightening_1,frightening_2,frightening_3,disgust_stim,fear_stim,participant_no,batch,batch1_participant_no,unpleasant_total,arousing_total,disgusting_total,frightening_total,correct_disgust_stim,correct_fear_stim
1,1414,disgust,4,4,4,0,0,0,4,4,5,0,0,0,1,0,1.0,2,,8,0,9,0,,
5,0046,fear,4,4,0,0,0,0,0,0,0,2,3,0,0,1,1.0,2,,4,0,0,3,,
1,1414,disgust,6,6,6,5,5,5,7,8,7,0,0,0,1,0,3.0,3,,12,10,15,0,,
6,0374,fear,5,6,5,7,7,5,1,0,0,7,7,7,0,1,3.0,3,,11,12,0,14,,
1,1414,disgust,4,3,4,7,6,3,2,4,2,0,0,1,1,0,6.0,2,,7,9,6,1,,
7,0548,fear,3,3,2,4,6,3,0,0,0,6,7,5,0,1,6.0,2,,5,9,0,12,,
3,1987,disgust,7,7,8,5,7,4,6,6,8,6,6,8,1,0,8.0,2,,15,11,14,14,,
6,0374,fear,8,8,6,8,7,6,8,6,5,8,8,7,0,1,8.0,2,,14,13,11,15,,
4,2106,disgust,6,6,5,3,5,3,5,5,5,2,2,5,1,0,9.0,3,,11,8,10,7,,
5,0046,fear,1,6,5,1,5,3,0,1,2,5,7,6,0,1,9.0,3,,11,8,3,13,,
2,1765,disgust,8,8,0,1,0,0,8,8,0,0,1,0,1,0,10.0,3,,8,0,8,1,,
7,0548,fear,0,8,0,0,0,0,0,8,0,2,8,1,0,1,10.0,3,,8,0,8,9,,
4,2106,disgust,6,4,7,6,4,4,0,8,8,0,0,0,1,0,12.0,3,,11,8,16,0,,
7,0548,fear,0,8,5,4,4,5,0,0,4,0,8,8,0,1,12.0,3,,13,9,4,16,,
1,1414,disgust,5,5,6,4,5,2,5,5,6,1,5,1,1,0,13.0,3,,11,7,11,6,,
7,0548,fear,1,6,7,1,6,7,1,6,7,1,6,7,0,1,13.0,3,,13,13,13,13,,
0,0888,disgust,6,6,7,1,5,6,6,6,7,3,2,4,0,0,2.0,1,2.0,13,11,13,6,1.0,
0,0888,disgust,8,8,8,2,1,0,8,7,8,1,0,0,1,0,7.0,1,4.0,16,1,15,0,1.0,
1,1414,disgust,8,8,8,4,4,5,8,8,8,5,5,6,0,0,11.0,1,3.0,16,9,16,11,1.0,
8,0877,fear,6,5,4,1,3,4,1,1,1,3,4,4,0,0,2.0,1,2.0,9,7,2,8,,1.0
8,0877,fear,6,4,7,3,1,1,1,0,0,5,6,6,0,0,7.0,1,4.0,11,2,0,12,,1.0
7,0548,fear,8,8,7,5,5,5,4,5,5,8,8,8,0,1,11.0,1,3.0,15,10,10,16,,1.0
