,prolific_age,prolific_sex,time taken,participant_no,self_report_gender,self_report_assigned-at-birth,self_report_age,aligns,digit_span
0,45,Male,51.16666666666666,1,,,,,task failed
1,25,Female,72.53333333333333,2,,,,,task failed
2,25,Male,42.06666666666667,3,Male,Yes,25.0,True,9.0
5,48,Male,49.833333333333336,6,,,,,task failed
6,38,Female,43.38333333333333,7,,,,,task failed
7,49,Female,101.6,8,,,,,6.0
8,34,Male,98.95,9,Male,Yes,34.0,True,task failed
9,20,Female,58.53333333333333,10,Female,Yes,20.0,True,12.0
10,21,Female,56.6,11,,,,,task failed
11,29,Male,83.21666666666667,12,Male,Yes,29.0,True,9.0
12,37,Male,64.66666666666667,13,Male,Yes,37.0,True,7.0
