,Vid,trial_type,unpleasant_1,unpleasant_2,unpleasant_3,arousing_1,arousing_2,arousing_3,disgusting_1,disgusting_2,disgusting_3,frightening_1,frightening_2,frightening_3,disgust_stim,fear_stim,participant_no,batch,batch1_participant_no,unpleasant_total,arousing_total,disgusting_total,frightening_total,correct_disgust_stim,correct_fear_stim
0,0888,disgust,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2,,0,0,0,0,,
1,1414,disgust,4,4,4,0,0,0,4,4,5,0,0,0,1,0,1.0,2,,8,0,9,0,,
2,1765,disgust,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2,,0,0,0,0,,
3,1987,disgust,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2,,0,0,0,0,,
4,2106,disgust,2,1,1,0,0,0,1,0,0,0,0,0,0,0,1.0,2,,2,0,0,0,,
5,0046,fear,4,4,0,0,0,0,0,0,0,2,3,0,0,1,1.0,2,,4,0,0,3,,
6,0374,fear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2,,0,0,0,0,,
7,0548,fear,4,3,4,0,0,0,0,0,0,4,3,4,0,0,1.0,2,,7,0,0,7,,
8,0877,fear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2,,0,0,0,0,,
9,1202,fear,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1.0,2,,0,0,0,1,,
0,0888,disgust,6,6,7,1,5,6,6,6,7,3,2,4,0,0,2.0,1,2.0,13,11,13,6,1.0,
1,1414,disgust,7,7,7,5,5,5,7,7,7,3,3,3,0,0,2.0,1,2.0,14,10,14,6,,
2,1765,disgust,7,7,7,4,5,6,7,7,7,3,3,5,0,0,2.0,1,2.0,14,11,14,8,,
3,1987,disgust,6,5,6,4,5,6,7,6,7,2,4,5,0,0,2.0,1,2.0,11,11,13,9,,
4,2106,disgust,7,6,5,3,5,5,6,4,7,3,3,4,1,0,2.0,1,2.0,11,10,11,7,,
5,0046,fear,3,3,3,3,4,4,1,1,1,4,5,4,0,0,2.0,1,2.0,6,8,2,9,,
6,0374,fear,3,3,4,3,4,4,1,1,1,4,5,4,0,1,2.0,1,2.0,7,8,2,9,,
7,0548,fear,3,4,3,1,3,4,2,1,3,4,4,2,0,0,2.0,1,2.0,7,7,4,6,,
8,0877,fear,6,5,4,1,3,4,1,1,1,3,4,4,0,0,2.0,1,2.0,9,7,2,8,,1.0
9,1202,fear,2,3,2,2,4,3,1,2,1,3,4,3,0,0,2.0,1,2.0,5,7,3,7,,
0,0888,disgust,1,0,0,0,3,0,4,2,2,0,0,0,0,0,3.0,3,,0,3,4,0,,
1,1414,disgust,6,6,6,5,5,5,7,8,7,0,0,0,1,0,3.0,3,,12,10,15,0,,
2,1765,disgust,0,1,5,5,2,2,3,5,5,0,0,0,0,0,3.0,3,,6,4,10,0,,
3,1987,disgust,2,2,0,1,0,3,4,0,0,0,0,0,0,0,3.0,3,,2,3,0,0,,
4,2106,disgust,2,5,6,1,2,5,2,7,6,0,0,6,0,0,3.0,3,,11,7,13,6,,
5,0046,fear,5,5,3,5,5,1,1,0,0,6,6,4,0,0,3.0,3,,8,6,0,10,,
6,0374,fear,5,6,5,7,7,5,1,0,0,7,7,7,0,1,3.0,3,,11,12,0,14,,
7,0548,fear,7,5,7,8,8,7,4,0,0,8,8,8,0,0,3.0,3,,12,15,0,16,,
8,0877,fear,0,1,2,3,2,3,0,1,0,0,3,1,0,0,3.0,3,,3,5,1,4,,
9,1202,fear,6,5,6,8,6,6,0,0,0,6,7,7,0,0,3.0,3,,11,12,0,14,,
0,0888,disgust,5,6,6,5,6,5,6,5,3,2,3,3,0,0,6.0,2,,12,11,8,6,,
1,1414,disgust,4,3,4,7,6,3,2,4,2,0,0,1,1,0,6.0,2,,7,9,6,1,,
